,collegeName,country,dateOfBirthUTC,draft_pickNum,draft_roundNum,draft_seasonYear,draft_teamId,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,weightKilograms,weightPounds,yearsPro
451,Texas,USA,1985-05-05,35,2,2006,1610612761,PJ,6,6,1.98,True,17,Texas/USA,Tucker,2006,200782,F,1610612745,111.1,245,7
452,Ohio State,USA,1988-10-27,2,1,2010,1610612755,Evan,6,7,2.01,True,1,Ohio State/USA,Turner,2010,202323,G-F,1610612757,99.8,220,8
453,Texas,USA,1996-03-24,11,1,2015,1610612754,Myles,6,11,2.11,True,33,Texas/USA,Turner,2015,1626167,C-F,1610612754,113.4,250,3
454,Baylor,USA,1987-05-20,6,1,2010,1610612744,Ekpe,6,10,2.08,True,33,Baylor/USA,Udoh,2010,202327,C-F,1610612762,111.1,245,6
455,"Utena, Lithuania",Lithuania,1992-05-06,5,1,2011,1610612761,Jonas,7,0,2.13,True,17,"Utena, Lithuania/Lithuania",Valanciunas,2012,202685,C,1610612761,120.2,265,6
456,Michigan State,USA,1993-11-16,14,1,2016,1610612741,Denzel,6,6,1.98,True,45,Michigan State/USA,Valentine,2016,1627756,G,1610612741,95.3,210,2
457,Kentucky,USA,1999-04-03,41,2,2018,1610612753,Jarred,6,9,2.06,True,8,University of Kentucky/USA,Vanderbilt,,1629020,F,1610612743,97.1,214,0
458,Wichita State,USA,1994-02-25,,,,,Fred,6,0,1.83,True,23,Wichita State/USA,VanVleet,2016,1627832,G,1610612761,88.5,195,2
459,Indiana,USA,1995-08-24,9,1,2014,1610612766,Noah,6,9,2.06,True,32,Indiana/USA,Vonleh,2014,203943,F,1610612752,113.4,250,4
460,Southern California,Montenegro,1990-10-24,16,1,2011,1610612755,Nikola,7,0,2.13,True,9,USCMontenegro/Montenegro,Vucevic,2011,202696,C,1610612753,117.9,260,7
461,Marquette,USA,1982-01-17,5,1,2003,1610612748,Dwyane,6,4,1.93,True,3,Marquette/USA,Wade,2003,2548,G,1610612748,99.8,220,15
462,Michigan,Germany,1997-04-26,25,1,2018,1610612747,Moritz,6,11,2.11,True,15,University of Michigan/Germany,Wagner,2018,1629021,C,1610612747,111.1,245,0
463,Syracuse,USA,1991-12-10,4,1,2012,1610612739,Dion,6,4,1.93,True,11,Syracuse/USA,Waiters,2012,203079,G,1610612748,97.5,215,6
464,Connecticut,USA,1990-05-08,9,1,2011,1610612766,Kemba,6,1,1.85,True,15,Connecticut/USA,Walker,2011,202689,G,1610612766,83.5,184,7
