,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,game_type
60,42016,1610612757,POR,Portland Trail Blazers,0041600144,2017-04-24,POR vs. GSW,L,240,33,85,0.388,13,39,0.333,24,29,0.828,7,32,39,14,7,3,11,20,103,-25,1,Playoffs
61,42016,1610612744,GSW,Golden State Warriors,0041600144,2017-04-24,GSW @ POR,W,240,46,86,0.535,17,29,0.586,19,27,0.704,6,39,45,27,7,9,10,15,128,25,1,Playoffs
62,42016,1610612764,WAS,Washington Wizards,0041600134,2017-04-24,WAS @ ATL,L,240,36,85,0.424,11,32,0.344,18,23,0.783,9,37,46,19,7,5,15,25,101,-10,1,Playoffs
63,42016,1610612737,ATL,Atlanta Hawks,0041600134,2017-04-24,ATL vs. WAS,W,240,40,90,0.444,12,31,0.387,19,25,0.76,12,37,49,24,7,1,12,20,111,10,1,Playoffs
64,42016,1610612761,TOR,Toronto Raptors,0041600125,2017-04-24,TOR vs. MIL,W,240,41,71,0.577,12,27,0.444,24,26,0.923,5,35,40,28,10,6,18,24,118,25,1,Playoffs
65,42016,1610612749,MIL,Milwaukee Bucks,0041600125,2017-04-24,MIL @ TOR,L,240,34,67,0.507,10,22,0.455,15,26,0.577,1,21,22,22,13,4,15,23,93,-25,1,Playoffs
66,42016,1610612759,SAS,San Antonio Spurs,0041600155,2017-04-25,SAS vs. MEM,W,240,42,80,0.525,14,28,0.5,18,22,0.818,10,24,34,23,7,2,8,17,116,13,1,Playoffs
67,42016,1610612763,MEM,Memphis Grizzlies,0041600155,2017-04-25,MEM @ SAS,L,240,37,72,0.514,9,22,0.409,20,22,0.909,8,23,31,22,7,1,10,20,103,-13,1,Playoffs
68,42016,1610612760,OKC,Oklahoma City Thunder,0041600165,2017-04-25,OKC @ HOU,L,240,35,91,0.385,10,38,0.263,19,29,0.655,18,31,49,16,7,7,14,27,99,-6,1,Playoffs
69,42016,1610612745,HOU,Houston Rockets,0041600165,2017-04-25,HOU vs. OKC,W,240,33,82,0.402,6,37,0.162,33,39,0.846,10,37,47,13,7,6,14,23,105,6,1,Playoffs
70,42016,1610612762,UTA,Utah Jazz,0041600175,2017-04-25,UTA @ LAC,W,240,35,81,0.432,13,36,0.361,13,16,0.813,7,36,43,25,10,4,14,24,96,4,1,Playoffs
71,42016,1610612746,LAC,LA Clippers,0041600175,2017-04-25,LAC vs. UTA,L,240,29,69,0.42,10,23,0.435,24,29,0.828,3,31,34,16,7,2,14,20,92,-4,1,Playoffs
72,42016,1610612741,CHI,Chicago Bulls,0041600105,2017-04-26,CHI @ BOS,L,240,37,74,0.5,9,26,0.346,14,17,0.824,5,37,42,24,4,5,16,21,97,-11,1,Playoffs
73,42016,1610612738,BOS,Boston Celtics,0041600105,2017-04-26,BOS vs. CHI,W,240,38,88,0.432,9,40,0.225,23,23,1.0,8,30,38,27,9,3,6,16,108,11,1,Playoffs
74,42016,1610612737,ATL,Atlanta Hawks,0041600135,2017-04-26,ATL @ WAS,L,240,38,93,0.409,9,31,0.29,14,21,0.667,11,32,43,23,3,2,11,21,99,-4,1,Playoffs
75,42016,1610612764,WAS,Washington Wizards,0041600135,2017-04-26,WAS vs. ATL,W,240,37,82,0.451,7,24,0.292,22,27,0.815,9,33,42,21,8,10,7,20,103,4,1,Playoffs
76,42016,1610612761,TOR,Toronto Raptors,0041600126,2017-04-27,TOR @ MIL,W,240,32,70,0.457,9,22,0.409,19,23,0.826,11,32,43,14,9,4,15,20,92,3,1,Playoffs
77,42016,1610612749,MIL,Milwaukee Bucks,0041600126,2017-04-27,MIL vs. TOR,L,240,32,75,0.427,7,18,0.389,18,28,0.643,11,26,37,18,11,10,14,20,89,-3,1,Playoffs
78,42016,1610612759,SAS,San Antonio Spurs,0041600156,2017-04-27,SAS @ MEM,W,240,37,77,0.481,7,20,0.35,22,25,0.88,16,30,46,13,4,0,12,20,103,7,1,Playoffs
79,42016,1610612763,MEM,Memphis Grizzlies,0041600156,2017-04-27,MEM vs. SAS,L,240,32,71,0.451,12,27,0.444,20,24,0.833,7,21,28,15,4,1,11,26,96,-7,1,Playoffs
80,42016,1610612741,CHI,Chicago Bulls,0041600106,2017-04-28,CHI vs. BOS,L,240,32,81,0.395,4,19,0.211,15,17,0.882,11,34,45,13,5,2,15,16,83,-22,1,Playoffs
81,42016,1610612738,BOS,Boston Celtics,0041600106,2017-04-28,BOS @ CHI,W,240,39,80,0.488,16,39,0.41,11,18,0.611,7,36,43,28,7,5,10,14,105,22,1,Playoffs
82,42016,1610612746,LAC,LA Clippers,0041600176,2017-04-28,LAC @ UTA,W,240,37,75,0.493,9,21,0.429,15,26,0.577,10,31,41,17,5,2,16,24,98,5,1,Playoffs
83,42016,1610612762,UTA,Utah Jazz,0041600176,2017-04-28,UTA vs. LAC,L,240,32,78,0.41,7,26,0.269,22,33,0.667,10,28,38,18,8,5,8,20,93,-5,1,Playoffs
84,42016,1610612764,WAS,Washington Wizards,0041600136,2017-04-28,WAS @ ATL,W,240,42,78,0.538,10,24,0.417,21,25,0.84,8,25,33,21,16,7,17,22,115,16,1,Playoffs
85,42016,1610612737,ATL,Atlanta Hawks,0041600136,2017-04-28,ATL vs. WAS,L,240,37,78,0.474,9,32,0.281,16,19,0.842,11,24,35,26,9,3,22,22,99,-16,1,Playoffs
86,42016,1610612764,WAS,Washington Wizards,0041600201,2017-04-30,WAS @ BOS,L,240,44,87,0.506,10,23,0.435,13,22,0.591,12,26,38,27,6,7,13,14,111,-12,1,Playoffs
87,42016,1610612738,BOS,Boston Celtics,0041600201,2017-04-30,BOS vs. WAS,W,240,46,90,0.511,19,39,0.487,12,15,0.8,12,26,38,32,8,7,11,25,123,12,1,Playoffs
88,42016,1610612746,LAC,LA Clippers,0041600177,2017-04-30,LAC vs. UTA,L,240,35,80,0.438,6,25,0.24,15,26,0.577,10,28,38,17,3,2,12,19,91,-13,1,Playoffs
89,42016,1610612762,UTA,Utah Jazz,0041600177,2017-04-30,UTA @ LAC,W,240,40,79,0.506,6,13,0.462,18,23,0.783,10,36,46,22,8,2,12,24,104,13,1,Playoffs
